Team,Pts,Rnk,CTP_In_Race,CTP_Weekend,CTP_Consistency,CTP_Combined,PWR_Last,PWR_Now,Av_Qual_pos,Av_Fin_pos,Str_Val,Fin_Val,R1_Qual,R1_Fin,R1_Pts,R2_Qual,R2_Fin,R2_Pts,R3_Qual,R3_Fin,R3_Pts,R4_Qual,R4_Fin,R4_Pts,R5_Qual,R5_Fin,R5_Pts,R6_Qual,R6_Fin,R6_Pts,R7_Qual,R7_Fin,R7_Pts,R8_Qual,R8_Fin,R8_Pts
Savage Speeders,101,1,595,960,8.4,692,2,1,6.63,5.13,9.37,10.87,16,5,11,6,2,18,7,6,8,7,2,18,11,15,0,2,3,15,3,7,6,1,1,25
Hazers,94,2,583,950,9.3,687,1,2,5.75,5,10.25,11,9,2,18,2,3,15,3,3,15,5,4,13,5,11,0,5,8,4,2,1,25,15,8,4
O'Rangers,69,3,455,736,2.5,515,4,3,7.5,7.25,8.5,8.75,1,6,8,15,14,0,11,5,11,2,8,4,2,1,25,14,10,2,4,2,19,11,12,0
Green Ducks,64,T5,480,699,4.8,513,3,4,8.13,7.13,7.87,8.87,10,8,4,5,1,26,8,4,12,11,13,0,7,9,2,13,9,2,7,11,0,4,2,18
Snowballs,66,4,466,662,2.5,481,5,5,9.5,7.75,6.5,8.25,5,3,15,13,6,8,15,9,2,1,14,0,10,13,0,12,1,25,12,13,0,8,3,16
Team Galactic,64,T5,481,625,3.9,472,6,6,10.5,7.88,5.5,8.12,2,1,25,12,12,0,5,7,6,9,1,25,14,8,4,15,11,0,13,8,4,14,15,0
Team Primary,54,7,353,606,-1.5,403,9,7,8.38,8.88,7.62,7.12,7,4,12,16,15,0,1,2,18,12,16,0,16,16,0,1,4,12,16,16,0,5,4,12
Mellow Yellow,44,10,330,629,-3.8,398,8,8,5.88,8.38,10.12,7.62,4,9,2,8,7,6,10,15,0,3,5,10,1,3,15,3,5,10,9,10,1,9,13,0
Thunderbolts,49,8,375,572,-0.8,395,10,9,8.88,8.75,7.12,7.25,13,15,0,10,5,10,6,13,0,8,12,0,3,2,19,8,2,18,10,12,0,13,9,2
Team Momo,39,11,324,575,-2.9,373,12,10,6.75,8.75,9.25,7.25,3,12,0,11,11,0,13,16,0,16,9,2,4,6,8,4,7,6,1,3,15,2,6,8
Host Team,39,,414,448,0.9,352,,,11.63,9.13,4.37,6.87,16,5,11,15,14,0,13,16,0,13,7,6,7,9,2,8,2,18,14,9,2,7,11,0
Rojo Rollers,32,13,390,450,-0.2,341,11,11,10.25,9,5.75,7,12,14,0,14,13,0,9,8,4,15,10,1,8,5,10,6,6,8,8,6,8,10,10,1
Balls of Chaos,46,9,319,504,-3,336,14,12,10.38,9.25,5.62,6.75,15,11,0,9,10,1,2,1,25,14,15,0,15,12,0,10,15,0,15,5,10,3,5,10
Midnight Wisps,34,12,282,519,-4.7,325,13,13,7.38,9.5,8.62,6.5,11,10,1,1,16,0,14,12,0,4,3,15,6,7,6,11,13,0,5,4,12,7,11,0
Raspberry Racers,25,14,287,445,-6.1,284,7,14,8.38,9.75,7.62,6.25,6,7,6,3,8,4,12,14,0,6,6,8,12,10,1,16,12,0,14,9,2,6,7,6
Limers,25,15,192,382,-8,217,15,15,9.5,11.38,6.5,4.62,14,16,0,4,4,12,4,10,1,10,11,0,13,4,12,9,16,0,6,14,0,16,16,0
Hornets,8,16,156,261,-13.4,124,16,16,10.38,12.13,5.62,3.87,8,13,0,7,9,2,16,11,0,13,7,6,9,14,0,7,14,0,11,15,0,12,14,0
