Marble,Team,Pts,Rnk,CIP_In_Race,CIP_Weekend,CIP_Consistency,CIP_Combined,PWR_Last,PWR_Now,Av_Str_pos,Av_Fin_pos,Str_Val,Fin_Val,R1_Qual,R1_Fin,R1_time,R1_Pts,R2_Qual,R2_Fin,R2_time,R2_Pts,R3_Qual,R3_Fin,R3_times,R3_Pts,R4_Qual,R4_Fin,R4_times,R4_Pts,R5_Qual,R5_Fin,R5_Times,R5_Pts,R6_Qual,R6_Fin,R6_Times,R6_Pts,R7_Qual,R7_Fin,R7_Times,R7_Pts,R8_Qual,R8_Fin,R8_Pts
Anarchy,Balls of Chaos,11,26,262,255,-2.4,224,29,28,12,11.25,7.25,8.75,,,,,9,10,32.52,1,,,,,14,15,29.65,0,,,,,10,15,19.59,0,15,5,29.03,10,,,
Clutter,Balls of Chaos,35,T9,486,540,6.7,477,11,11,8.75,7.25,7,7.5,15,11,29.98,0,,,,,2,1,21.01,25,,,,,15,12,35.71,0,,,,,,,,,3,5,10
Billy,Green Ducks,28,14,397,472,3.6,403,18,17,9,8.5,8.75,10.25,,,,,5,1,30.05,26,,,,,11,13,28,0,,,,,13,9,19.28,2,7,11,29.8,0,,,
Mallard,Green Ducks,36,8,563,614,17.4,567,5,5,7.25,5.75,12.5,12,10,8,29.11,4,,,,,8,4,21.12,12,,,,,7,9,35.43,2,,,,,,,,,4,2,18
Smoggy,Hazers,57,3,604,846,25.4,728,2,2,3.5,4,8,10,,,,,2,3,31.02,15,,,,,5,4,25.8,13,,,,,5,8,19.16,4,2,1,28.72,25,,,
Hazy,Hazers,37,7,562,595,9.4,539,7,7,8,6,5.5,2.75,9,2,28.37,18,,,,,3,3,21.12,15,,,,,5,11,35.69,0,,,,,,,,,15,8,4
Vespa,Hornets,0,31,74,195,-13.8,102,30,30,10.5,13.25,5.75,5,8,13,30.29,0,,,,,16,11,22.29,0,,,,,,,,,7,14,19.4,0,11,15,30.89,0,,,
Hive,Hornets,8,T27,239,289,-4.3,231,27,27,10.25,11,7.75,7.75,,,,,7,9,32.4,2,,,,,13,7,26.07,6,9,14,36.15,0,,,,,,,,,12,14,0
Limelime,Limers,24,15,398,476,3,404,15,16,8.25,8.25,5.25,1.5,,,,,4,4,31.4,12,,,,,10,11,27.54,0,13,4,34.2,12,,,,,6,14,30.8,0,,,
Sublime,Limers,1,30,-14,166,-17.4,49,31,31,10.75,14.5,9.5,6.25,14,16,31.2,0,,,,,4,10,22.2,1,,,,,,,,,9,16,20.17,0,,,,,16,16,0
Yellow,Mellow Yellow,13,T24,242,432,-4.6,310,21,23,6.5,9.75,10.75,9,4,9,29.34,2,,,,,10,15,23.62,0,,,,,,,,,3,5,18.31,10,9,10,29.71,1,,,
Yellup,Mellow Yellow,31,T11,420,611,5.8,492,9,9,5.25,7,5.75,6.25,,,,,8,7,32.04,6,,,,,3,5,26.01,10,1,3,34.09,15,,,,,,,,,9,13,0
Wispy,Midnight Wisps,13,T24,333,341,0.9,302,24,24,10.25,9.75,11.5,6.75,11,10,29.54,1,,,,,14,12,22.76,0,,,,,,,,,11,13,19.39,0,5,4,28.92,12,,,
Wospy,Midnight Wisps,21,T17,231,531,-3.4,364,17,19,4.5,9.25,10.25,9.75,,,,,1,16,35.51,0,,,,,4,3,25.48,15,6,7,35.31,6,,,,,,,,,7,11,0
Orangin,O'Rangers,48,5,489,698,6.4,565,6,6,5.75,6.25,6.75,7.75,,,,,15,14,33.79,0,,,,,2,8,26.31,4,2,1,33.61,25,,,,,4,2,28.79,19,,,
Clementin,O'Rangers,21,T17,422,437,4.5,393,16,18,9.25,8.25,4,5.5,1,6,28.72,8,,,,,11,5,21.34,11,,,,,,,,,14,10,19.31,2,,,,,11,12,0
Razzy,Raspberry Racers,8,T27,319,257,0,249,26,26,12,10.5,9.25,8.25,6,7,28.96,6,,,,,12,14,22.87,0,,,,,,,,,16,12,19.37,0,14,9,29.4,2,,,
Rezzy,Raspberry Racers,19,19,399,499,5.9,423,13,14,6.75,7.75,5.25,7.25,,,,,3,8,32.07,4,,,,,6,6,26.03,8,12,10,35.59,1,,,,,,,,,6,7,6
Rojo Dos,Rojo Rollers,17,21,421,370,6.1,359,20,20,10.75,8.75,6.25,6.75,,,,,14,13,33.7,0,,,,,15,10,27.32,1,,,,,6,6,18.42,8,8,6,29.08,8,,,
Rojo Uno,Rojo Rollers,15,23,359,374,3.1,334,23,21,9.75,9.25,9.25,9.5,12,14,30.41,0,,,,,9,8,21.59,4,,,,,8,5,34.63,10,,,,,,,,,10,10,1
Rapidly,Savage Speeders,42,6,494,639,7.2,536,8,8,6.75,6.5,9.5,12.25,,,,,6,2,30.37,18,,,,,7,2,24.23,18,11,15,36.28,0,,,,,3,7,29.21,6,,,
Speedy,Savage Speeders,59,1,696,788,16.2,706,3,3,6.5,3.75,7,4.5,16,5,28.71,11,,,,,7,6,21.39,8,,,,,,,,,2,3,17.91,15,,,,,1,1,25
Snowflake,Snowballs,8,T27,170,309,-5.3,217,28,29,9,11.5,6,12,,,,,13,6,31.89,8,,,,,1,14,29.01,0,10,13,35.81,0,,,,,12,13,30.32,0,,,
Snowy,Snowballs,58,2,762,693,23.1,690,4,4,10,4,3.75,8,5,3,28.4,15,,,,,15,9,22.16,2,,,,,,,,,12,1,17.76,25,,,,,8,3,16
Pulsar,Team Galactic,29,13,514,409,10.6,422,19,15,12.25,8,7.25,8.25,,,,,12,12,33.31,0,,,,,9,1,23.99,25,,,,,15,11,19.31,0,13,8,29.27,4,,,
Starry,Team Galactic,35,T9,448,529,5,454,14,12,8.75,7.75,8,8.5,2,1,28.11,25,,,,,5,7,21.41,6,,,,,14,8,35.35,4,,,,,,,,,14,15,0
Mimo,Team Momo,23,16,449,494,5.4,436,12,13,8,7.5,10.5,6,,,,,11,11,32.67,0,,,,,16,9,27.31,2,,,,,4,7,18.86,6,1,3,28.86,15,,,
Momo,Team Momo,16,22,199,466,-5.4,313,22,22,5.5,10,1,0.25,3,12,30.08,0,,,,,13,16,23.75,0,,,,,4,6,34.76,8,,,,,,,,,2,6,8
Mary,Team Primary,0,32,-5,30,-43.4,-81,32,32,15,15.75,12.5,12.5,,,,,16,15,33.86,0,,,,,12,16,29.97,0,16,16,39.49,0,,,,,16,16,30.99,0,,,
Prim,Team Primary,54,4,642,843,30.8,740,1,1,3.5,3.5,6.75,5.5,7,4,28.7,12,,,,,1,2,21.05,18,,,,,,,,,1,4,18.11,12,,,,,5,4,12
Shock,Thunderbolts,18,20,252,373,-2.8,285,25,25,9.25,10.5,7.5,9,13,15,31.12,0,,,,,6,13,22.79,0,,,,,,,,,8,2,17.85,18,10,12,29.88,0,,,
Bolt,Thunderbolts,31,T11,499,532,8.5,481,10,10,8.5,7,16,16,,,,,10,5,31.61,10,,,,,8,12,27.8,0,3,2,33.76,19,,,,,,,,,13,9,2
